0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:18:23 +0900] "GET /guestbook/editproduct.jsp?edit=delete HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:18:27 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1530
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:18:28 +0900] "GET /guestbook/editproduct.jsp?edit=delete HTTP/1.1" 404 835
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:00 +0900] "GET /guestbook/welcome.jsp HTTP/1.1" 200 1386
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:01 +0900] "GET /guestbook/addProduct.jsp HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:02 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:03 +0900] "GET /guestbook/editProduct.jsp?edit=delete HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:04 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:05 +0900] "GET /guestbook/editProduct.jsp?edit=delete HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:05 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:06 +0900] "GET /guestbook/editProduct.jsp?edit=delete HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:06 +0900] "GET /guestbook/editProduct.jsp?edit=update HTTP/1.1" 200 1537
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:07 +0900] "GET /guestbook/editProduct.jsp?edit=delete HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:07 +0900] "GET /guestbook/addProduct.jsp HTTP/1.1" 200 4292
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:08 +0900] "GET /guestbook/products.jsp HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:09 +0900] "GET /guestbook/editProduct.jsp?edit=delete HTTP/1.1" 200 1522
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:20:10 +0900] "GET /guestbook/products.jsp HTTP/1.1" 200 3007
0:0:0:0:0:0:0:1 - - [26/Oct/2021:10:21:17 +0900] "GET /guestbook/products.jsp HTTP/1.1" 200 3086
